id,neighborhood,host_since,superhost,host_acceptance_rate,host_total_listings,room_type,accommodates,bathrooms,bedrooms,beds,price,min_nights
406,Union Station,5/8/2015,T,0.91,1,Entire home/apt,4,1 bath,1,2,200,4
407,Capitol Hill,4/18/2016,F,0,1,Entire home/apt,3,1 bath,1,1,225,31
408,Union Station,4/19/2015,T,1,1,Entire home/apt,6,1.5 baths,3,4,412,4
409,Capitol Hill,4/20/2016,F,1,2,Entire home/apt,2,1 bath,,1,150,31
413,Capitol Hill,9/22/2015,T,1,1,Entire home/apt,2,1 bath,,1,170,2
415,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,2,2,350,31
416,Dupont Circle,2/15/2013,T,1,1,NA,4,1 bath,1,1,175,1
417,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,230,31
418,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,133,31
420,Union Station,5/5/2016,F,,1,Entire home/apt,2,1 bath,1,1,80,31
421,Georgetown,5/6/2016,F,,4,Entire home/apt,5,2.5 baths,2,3,250,365
424,Dupont Circle,2/19/2015,F,1,16,Entire home/apt,5,1 bath,2,2,84,91
427,Capitol Hill,11/27/2013,T,1,30,Entire home/apt,4,1 bath,1,2,201,31
428,Georgetown,5/18/2009,F,0.99,164,Entire home/apt,4,1 bath,2,3,143,31
429,Union Station,5/19/2016,T,1,1,Entire home/apt,4,1 bath,,3,109,1
430,Capitol Hill,5/28/2015,F,,1,Entire home/apt,4,1 bath,,2,105,31
434,Dupont Circle,6/1/2016,T,0.46,3,Entire home/apt,6,1 bath,2,2,165,31
435,Capitol Hill,4/13/2015,F,,1,Entire home/apt,4,1 bath,2,2,190,31
438,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,6,2.5 baths,2,3,263,31
439,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,2,1 bath,1,1,139,4
440,Capitol Hill,10/7/2011,F,0.99,19,Entire home/apt,8,3.5 baths,3,3,295,31
444,Union Station,2/22/2016,F,,1,Entire home/apt,4,2 baths,3,2,150,31
445,Capitol Hill,8/17/2015,F,,1,Entire home/apt,8,2.5 baths,4,6,275,31
446,Union Station,5/29/2012,T,1,4,Entire home/apt,4,1 bath,,2,156,1
448,Capitol Hill,2/18/2016,T,1,1,Entire home/apt,3,1 bath,1,2,133,2
449,Union Station,7/25/2015,T,1,2,Entire home/apt,2,1.5 baths,1,1,110,5
451,Union Station,6/2/2016,T,0.96,2,Entire home/apt,8,2 baths,3,3,189,31
453,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,263,30
454,Shaw,6/11/2014,T,0.92,157,Entire home/apt,5,1.5 baths,2,2,229,3
455,Dupont Circle,6/5/2017,F,,3,Entire home/apt,4,1 bath,1,2,146,31
459,Capitol Hill,7/5/2016,F,1,2,Entire home/apt,6,2.5 baths,3,3,375,31
461,Shaw,5/3/2016,T,1,3,Entire home/apt,2,1 bath,,1,124,1
463,Dupont Circle,7/11/2016,F,,2,Entire home/apt,2,1.5 baths,1,1,100,31
466,Union Station,5/5/2016,T,1,2,Entire home/apt,6,3.5 baths,3,4,190,31
468,Capitol Hill,7/6/2016,F,,1,Entire home/apt,4,1 bath,1,2,450,31
471,Shaw,7/28/2010,F,,6,Entire home/apt,3,1 bath,1,2,125,31
475,Foggy Bottom,7/30/2016,F,,1,Entire home/apt,3,1 bath,2,1,129,31
477,Capitol Hill,8/3/2016,F,1,2,Entire home/apt,4,1 bath,1,1,95,270
478,Capitol Hill,8/3/2016,F,1,2,Entire home/apt,4,1 bath,1,3,90,270
480,Union Station,12/5/2012,T,1,1,Entire home/apt,3,1.5 baths,1,2,149,3
481,Dupont Circle,7/2/2013,F,,1,Entire home/apt,2,1 bath,1,1,125,120
483,Shaw,9/2/2012,T,1,29,Entire home/apt,10,3 baths,4,4,597,31
484,Shaw,9/2/2012,T,1,29,Entire home/apt,5,3 baths,4,4,536,31
485,Union Station,8/9/2016,T,1,1,Entire home/apt,4,1 bath,,3,198,3
487,Shaw,8/15/2016,T,0.99,5,Entire home/apt,8,2.5 baths,3,4,372,3
488,Union Station,1/1/2012,F,,1,NA,4,1.5 baths,2,2,199,31
489,Shaw,8/17/2016,F,,2,Entire home/apt,10,1.5 baths,3,5,300,31
491,Shaw,8/25/2016,F,,1,Private room,2,1 private bath,1,2,80,31
492,Dupont Circle,4/13/2014,T,0.99,1,Entire home/apt,4,1 bath,2,2,228,1
494,Shaw,6/19/2013,F,,3,Entire home/apt,6,2 baths,3,3,170,31
496,Capitol Hill,11/8/2015,T,0.99,1,Entire home/apt,4,1 bath,1,1,115,3
499,Capitol Hill,9/15/2016,T,1,2,Entire home/apt,12,4 baths,5,7,950,2
500,Union Station,7/28/2016,F,0.87,1,Entire home/apt,4,1 bath,1,2,171,4
501,Union Station,9/26/2014,F,,2,Entire home/apt,5,1 bath,1,1,95,31
502,Dupont Circle,9/21/2016,F,,1,Entire home/apt,2,1 bath,,1,79,31
504,Dupont Circle,12/30/2013,F,,1,Entire home/apt,2,1 bath,,1,73,31
505,Foggy Bottom,9/23/2016,F,,2,Entire home/apt,3,1 bath,1,1,184,31
509,Capitol Hill,8/31/2015,T,0.94,1,Entire home/apt,2,1 bath,,1,201,2
