listing_id,total_reviews,avg_rating
1600,205,4.9
1601,188,4.9
1602,124,4.87
1603,6,5
1604,1,3
1605,169,4.96
1606,9,4.67
1607,12,5
1608,3,5
1609,2,5
1610,16,4.88
1611,63,4.7
1612,46,4.7
1613,11,4.82
1614,70,4.69
1615,2,4
1616,34,4.91
1617,40,4.55
1618,68,4.66
1619,42,4.86
1620,14,5
1621,20,4.95
1622,111,4.9
1623,9,5
1624,57,4.91
1625,34,4.85
1626,74,4.85
1627,148,4.8
1628,16,5
1629,16,4.94
1630,71,4.68
1631,115,4.75
1632,83,4.84
1633,65,4.83
1634,9,5
1635,86,4.94
1636,82,4.88
1637,46,4.98
1638,192,5
1639,2,5
1640,1,5
1641,94,4.95
1642,17,4.94
1643,2,4.5
1644,17,4.94
1645,87,4.85
1646,9,4.78
1647,45,4.78
1648,68,4.87
1649,31,4.58
1650,42,4.86
1651,25,4.84
1652,181,4.82
1653,180,4.95
1654,1,5
1655,1,5
1656,19,4.79
1657,1,5
1658,1,5
1659,15,4.8
1660,4,5
1661,3,5
1662,11,4.55
1663,10,4.8
1664,184,4.99
1665,228,4.96
1666,143,4.9
1667,124,4.75
1668,129,4.85
1669,147,4.93
1670,111,4.75
1671,61,4.44
1672,96,4.83
1673,8,4.75
1674,121,4.96
1675,53,4.98
1676,134,4.93
1677,97,4.95
1678,107,4.92
1679,9,4.78
1680,6,4.83
1681,5,4.6
1682,2,4
1683,2,5
1684,50,4.12
1685,84,4.95
1686,5,5
1687,2,4
1688,36,4.64
1689,41,4.76
1690,1,5
1691,31,4.84
1692,1,5
1693,31,4.84
1694,30,4.73
1695,5,4.8
1696,1,3
1697,2,5
1698,2,5
1699,29,4.72
1700,39,4.82
1701,219,4.99
1702,99,4.94
1703,12,4.83
1704,5,5
1705,8,5
1706,68,4.88
1707,237,4.95
1708,1,5
1709,1,3
1710,9,4.33
1711,1,4
1712,2,4
1713,5,4.2
1714,4,4.75
1715,1,4
1716,10,4.9
1717,2,4.5
1718,2,3.5
1719,100,4.97
1720,25,5
1721,66,4.62
1722,5,5
1723,45,4.91
1724,13,4.77
1725,76,4.95
1726,1,5
1727,26,4.96
1728,81,4.93
1729,9,4.89
